Location,GROUP_ID,Sample_Type,SAMPLE_DATE,Year,Coupon_Date_Install,Coupon_Date_Pulled,Days_Installed,Coupon_Number,MPY,Corr_Inhib_Residual_PPM,BA_SRB_Bottle_Turn,BA_APB_Bottle_Turn,Biocide Residual
Wideawake from Kansas -WaterTrap,FLEMING - WIDE AWAKE,Corrosion Coupon,3/25/2010,2010,3/25/2010,10/14/2010,203,G5408,0.09,,,,
Wideawake from Kansas -WaterTrap,FLEMING - WIDE AWAKE,Corrosion Residual,3/25/2010,2010,,,,,,1,,,
Wideawake from Kansas -WaterTrap,FLEMING - WIDE AWAKE,Bacteria,3/25/2010,2010,,,,,,,2,1,
Wideawake from Kansas -WaterTrap,FLEMING - WIDE AWAKE,Biocide Residual,3/25/2010,2010,,,,,,,,,70
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Corrosion Coupon,6/8/2010,2010,6/8/2010,10/26/2010,140,G5570,0.28,,,,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Corrosion Residual,6/8/2010,2010,,,,,,20,,,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Bacteria,6/8/2010,2010,,,,,,,2,1,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Biocide Residual,6/8/2010,2010,,,,,,,,,5
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Corrosion Coupon,6/8/2010,2010,6/8/2010,10/26/2010,140,G5569,0.42,,,,
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Corrosion Residual,6/8/2010,2010,,,,,,180,,,
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Bacteria,6/8/2010,2010,,,,,,,2,1,
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Biocide Residual,6/8/2010,2010,,,,,,,,,85
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Corrosion Coupon,6/8/2010,2010,6/8/2010,10/26/2010,140,G5568,3.42,,,,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Corrosion Residual,6/8/2010,2010,,,,,,180,,,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Bacteria,6/8/2010,2010,,,,,,,3,1,
